,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,dandong,CN,1601925114.0,40.13,124.39,44.22,74.0,0.0,3.04
1,chowchilla,US,1601925114.0,37.12,-120.26,87.8,22.0,1.0,3.53
2,bredasdorp,ZA,1601924795.0,-34.53,20.04,60.8,87.0,0.0,5.82
3,albany,US,1601924801.0,42.6,-73.97,64.0,62.0,74.0,1.81
4,north platte,US,1601925114.0,41.12,-100.77,87.8,15.0,1.0,13.87
6,busselton,AU,1601924802.0,-33.65,115.33,48.99,55.0,100.0,8.23
7,vaini,TO,1601924792.0,-21.2,-175.2,73.4,94.0,75.0,10.29
8,saint-philippe,RE,1601924808.0,-21.36,55.77,68.0,94.0,79.0,13.87
9,dikson,RU,1601924806.0,73.51,80.55,33.66,89.0,100.0,33.46
10,mataura,NZ,1601924551.0,-46.19,168.86,48.99,73.0,100.0,15.01
11,castro,BR,1601924799.0,-24.79,-50.01,87.57,38.0,59.0,7.25
14,jamestown,US,1601924792.0,42.1,-79.24,57.0,66.0,75.0,14.99
15,butaritari,KI,1601924804.0,3.07,172.79,82.36,76.0,0.0,13.38
16,verkhniye kigi,RU,1601925115.0,55.41,58.6,33.67,89.0,76.0,8.5
18,pangnirtung,CA,1601925068.0,66.15,-65.71,35.6,51.0,90.0,9.17
20,husavik,IS,1601925116.0,66.04,-17.34,41.0,86.0,90.0,3.36
22,la ronge,CA,1601924852.0,55.1,-105.28,57.2,47.0,20.0,16.11
23,tiksi,RU,1601924839.0,71.69,128.87,35.65,96.0,100.0,10.45
24,urumqi,CN,1601924843.0,43.8,87.6,55.4,28.0,0.0,11.18
25,bluff,NZ,1601924797.0,-46.6,168.33,48.99,73.0,73.0,15.01
26,sibu,MY,1601925116.0,2.3,111.82,77.0,94.0,40.0,0.18
27,aklavik,CA,1601924838.0,68.22,-135.01,37.4,86.0,90.0,11.41
28,maniitsoq,GL,1601924792.0,65.42,-52.9,28.11,86.0,79.0,3.74
29,mar del plata,AR,1601924816.0,-38.0,-57.56,51.8,81.0,75.0,8.05
30,changtu,CN,1601925117.0,42.78,124.1,42.37,66.0,0.0,4.74
31,kodiak,US,1601924810.0,57.79,-152.41,50.0,61.0,1.0,11.36
32,port-cartier,CA,1601925117.0,50.03,-66.87,44.01,93.0,75.0,4.7
34,kapaa,US,1601924807.0,22.08,-159.32,82.4,74.0,75.0,11.41
35,barrow,US,1601924806.0,71.29,-156.79,33.8,80.0,90.0,11.41
37,avera,US,1601924811.0,33.19,-82.53,77.0,50.0,1.0,4.7
38,vagay,RU,1601925117.0,57.94,69.02,31.89,96.0,84.0,6.55
39,cape town,ZA,1601924577.0,-33.93,18.42,62.01,87.0,75.0,12.75
40,coari,BR,1601925118.0,-4.08,-63.14,90.88,51.0,100.0,1.68
41,atuona,PF,1601924798.0,-9.8,-139.03,77.61,79.0,2.0,18.39
42,geraldton,AU,1601924847.0,-28.77,114.6,46.4,39.0,4.0,8.05
43,maraba,BR,1601924917.0,-5.37,-49.12,95.0,47.0,40.0,6.93
44,barentu,ER,1601925118.0,15.11,37.59,80.26,32.0,0.0,4.43
45,ushuaia,AR,1601924791.0,-54.8,-68.3,48.2,57.0,75.0,20.8
46,mujiayingzi,CN,1601924709.0,42.12,118.78,38.48,62.0,0.0,5.88
47,kodinsk,RU,1601925118.0,58.69,99.18,37.83,89.0,99.0,8.66
48,korla,CN,1601924808.0,41.76,86.15,59.0,55.0,4.0,5.01
49,arraial do cabo,BR,1601924795.0,-22.97,-42.03,77.0,78.0,75.0,19.46
50,puerto ayora,EC,1601924805.0,-0.74,-90.35,75.2,60.0,0.0,19.46
52,yellowknife,CA,1601924815.0,62.46,-114.35,39.99,80.0,90.0,11.41
53,ancud,CL,1601924807.0,-41.87,-73.82,50.0,76.0,90.0,17.22
54,kavieng,PG,1601924792.0,-2.57,150.8,82.18,76.0,100.0,13.62
55,saskylakh,RU,1601924792.0,71.92,114.08,20.39,94.0,100.0,1.92
56,narsaq,GL,1601924835.0,60.92,-46.05,35.6,64.0,75.0,3.36
57,fort-shevchenko,KZ,1601925119.0,44.51,50.26,63.16,48.0,100.0,18.84
59,pespire,HN,1601925119.0,13.59,-87.36,89.6,65.0,75.0,4.7
60,mahebourg,MU,1601924794.0,-20.41,57.7,71.6,88.0,90.0,5.82
61,cabo san lucas,MX,1601924811.0,22.89,-109.91,88.0,55.0,5.0,9.17
62,souillac,MU,1601924813.0,-20.52,57.52,71.6,88.0,90.0,5.82
63,rikitea,PF,1601924792.0,-23.12,-134.97,73.83,80.0,100.0,15.57
64,lagoa,PT,1601924585.0,39.05,-27.98,68.97,77.0,100.0,6.53
65,hobart,AU,1601924706.0,-42.88,147.33,39.2,84.0,1.0,6.93
66,hermanus,ZA,1601924794.0,-34.42,19.23,57.99,91.0,4.0,2.48
67,novopokrovka,UA,1601925120.0,49.84,36.55,51.8,32.0,2.0,8.95
69,torbay,CA,1601924599.0,47.67,-52.73,50.0,76.0,90.0,10.29
70,ilulissat,GL,1601924811.0,69.22,-51.1,15.87,90.0,4.0,3.96
71,lompoc,US,1601925120.0,34.64,-120.46,71.6,56.0,1.0,4.7
72,port alfred,ZA,1601924805.0,-33.59,26.89,64.89,85.0,29.0,8.59
73,kaitangata,NZ,1601924804.0,-46.28,169.85,50.0,69.0,100.0,8.01
74,coihaique,CL,1601925121.0,-45.58,-72.07,53.6,50.0,75.0,4.7
75,fremont,US,1601925009.0,37.55,-121.99,82.0,93.0,75.0,2.55
76,merauke,ID,1601924508.0,-8.47,140.33,77.07,82.0,95.0,13.96
77,cherskiy,RU,1601924816.0,68.75,161.3,27.7,87.0,98.0,3.62
78,chapais,CA,1601925121.0,49.78,-74.85,48.2,51.0,40.0,11.41
79,mgandu,TZ,1601925121.0,-5.95,34.13,68.36,25.0,0.0,6.62
80,biltine,TD,1601925122.0,14.53,20.92,90.79,31.0,18.0,6.49
81,upernavik,GL,1601924793.0,72.79,-56.15,25.75,90.0,18.0,4.5
82,huoqiu,CN,1601925122.0,32.34,116.27,54.72,63.0,99.0,4.94
83,dingle,PH,1601925122.0,11.0,122.67,76.62,89.0,25.0,0.92
84,komatipoort,ZA,1601925122.0,-25.43,31.95,66.0,93.0,100.0,3.36
85,cidreira,BR,1601924644.0,-30.18,-50.21,70.14,80.0,93.0,6.38
86,tuktoyaktuk,CA,1601924791.0,69.45,-133.04,35.6,93.0,90.0,12.75
87,znamenskoye,RU,1601925123.0,57.13,73.83,32.76,95.0,100.0,5.91
88,natchitoches,US,1601925123.0,31.77,-93.13,73.4,49.0,1.0,3.36
89,bongandanga,CD,1601925068.0,1.5,21.05,71.64,93.0,84.0,2.26
90,alofi,NU,1601924755.0,-19.06,-169.92,75.2,88.0,75.0,12.75
91,agogo,GH,1601925123.0,6.8,-1.08,72.66,96.0,95.0,1.5
93,mikuni,JP,1601925123.0,36.22,136.15,57.2,82.0,75.0,6.93
94,chuy,UY,1601924795.0,-33.7,-53.46,64.49,65.0,4.0,18.59
95,oeiras,BR,1601925123.0,-7.03,-42.13,102.7,12.0,7.0,8.19
96,isangel,VU,1601924841.0,-19.55,169.27,70.48,71.0,1.0,2.35
97,kidal,ML,1601924798.0,18.44,1.41,98.19,17.0,82.0,1.03
98,tura,IN,1601924842.0,25.52,90.22,73.33,95.0,6.0,3.51
99,french harbor,HN,1601925124.0,16.35,-86.43,80.6,78.0,90.0,11.41
100,gidole,ET,1601925124.0,5.65,37.37,61.12,77.0,49.0,2.13
101,kununurra,AU,1601924837.0,-15.77,128.73,77.0,83.0,40.0,5.82
102,sioux lookout,CA,1601924674.0,50.1,-91.92,53.6,66.0,90.0,9.17
103,payo,ID,1601925124.0,-3.75,103.64,75.7,86.0,93.0,0.85
104,burnie,AU,1601925124.0,-41.07,145.92,43.0,65.0,51.0,5.01
105,ponta delgada,PT,1601924673.0,37.73,-25.67,69.8,73.0,40.0,5.82
106,avarua,CK,1601924801.0,-21.21,-159.78,73.4,69.0,35.0,5.82
108,luwuk,ID,1601925125.0,-0.95,122.79,77.67,71.0,100.0,3.44
109,khatanga,RU,1601924814.0,71.97,102.5,20.68,98.0,98.0,5.57
110,codrington,AU,1601924803.0,-38.27,141.97,44.82,79.0,40.0,9.31
111,karratha,AU,1601924806.0,-20.74,116.85,60.57,30.0,0.0,17.78
112,bilibino,RU,1601924800.0,68.05,166.44,19.56,89.0,100.0,1.97
113,sao miguel do araguaia,BR,1601925126.0,-13.28,-50.16,106.11,11.0,0.0,4.41
115,lavrentiya,RU,1601924790.0,65.58,-171.0,33.1,90.0,0.0,8.97
116,suleja,NG,1601925126.0,9.18,7.18,74.07,90.0,95.0,2.21
117,lagos,NG,1601924905.0,6.58,3.75,77.31,89.0,100.0,5.7
118,east london,ZA,1601924791.0,-33.02,27.91,66.2,93.0,20.0,5.82
119,atar,MR,1601924530.0,20.52,-13.05,91.4,43.0,100.0,13.87
120,nchelenge,ZM,1601925126.0,-9.35,28.73,79.81,36.0,0.0,4.23
121,pevek,RU,1601924624.0,69.7,170.31,28.56,91.0,77.0,13.71
122,shimoda,JP,1601924830.0,34.67,138.95,63.0,77.0,59.0,1.99
