,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,tautira,PF,1590174293.0,-17.73,-149.15,80.6,65.0,20.0,4.7
1,inhambane,MZ,1590174293.0,-23.86,35.38,68.0,94.0,16.0,3.36
2,bengkulu,ID,1590174294.0,-3.8,102.27,77.86,81.0,100.0,4.47
3,vardo,NO,1590174185.0,70.37,31.11,38.62,89.0,22.0,7.63
4,kirakira,SB,1590174294.0,-10.45,161.92,79.66,85.0,17.0,10.07
5,nikolskoye,RU,1590174294.0,59.7,30.79,53.01,32.0,2.0,2.24
6,souillac,MU,1590174294.0,-20.52,57.52,73.4,69.0,40.0,13.87
7,paamiut,GL,1590174160.0,61.99,-49.67,38.57,78.0,100.0,11.25
8,kodiak,US,1590174294.0,57.79,-152.41,50.0,76.0,90.0,8.05
9,mar del plata,AR,1590174294.0,-38.0,-57.56,57.99,71.0,75.0,21.92
10,chibuto,MZ,1590174294.0,-24.69,33.53,64.04,88.0,0.0,4.79
11,hobyo,SO,1590174294.0,5.35,48.53,83.97,73.0,100.0,24.0
12,shestakovo,RU,1590174295.0,56.49,103.96,49.55,52.0,1.0,1.03
13,yellowknife,CA,1590174295.0,62.46,-114.35,51.8,50.0,75.0,11.41
14,hithadhoo,MV,1590174295.0,-0.6,73.08,84.58,77.0,100.0,14.61
15,clyde river,CA,1590174295.0,70.47,-68.59,28.4,86.0,75.0,8.05
16,naantali,FI,1590174295.0,60.47,22.02,53.6,40.0,0.0,9.17
17,albany,US,1590174295.0,42.6,-73.97,82.99,37.0,14.0,3.27
18,castro,BR,1590174295.0,-24.79,-50.01,67.77,80.0,100.0,9.95
19,den helder,NL,1590174295.0,52.96,4.76,59.0,72.0,90.0,17.22
20,noumea,NC,1590174178.0,-22.28,166.46,68.0,72.0,92.0,1.12
22,kavieng,PG,1590174295.0,-2.57,150.8,82.83,78.0,93.0,7.02
23,kiamba,PH,1590174296.0,5.99,124.62,79.56,76.0,100.0,3.74
24,hobart,AU,1590174002.0,-42.88,147.33,39.99,93.0,0.0,6.93
25,salalah,OM,1590174296.0,17.02,54.09,86.0,84.0,40.0,8.05
26,kaeo,NZ,1590174296.0,-35.1,173.78,48.99,3.0,100.0,4.0
28,jamestown,US,1590174265.0,42.1,-79.24,64.0,93.0,90.0,3.36
29,punta arenas,CL,1590174171.0,-53.15,-70.92,44.6,87.0,90.0,9.17
30,mataura,NZ,1590174296.0,-46.19,168.86,40.75,93.0,0.0,2.33
31,awbari,LY,1590174296.0,26.59,12.78,82.81,24.0,36.0,19.48
33,fortuna,US,1590174297.0,40.6,-124.16,59.0,62.0,75.0,16.11
34,ushuaia,AR,1590174169.0,-54.8,-68.3,53.6,37.0,75.0,13.87
36,kuopio,FI,1590174297.0,62.89,27.68,55.4,35.0,0.0,4.7
37,cherskiy,RU,1590174297.0,68.75,161.3,29.05,94.0,100.0,16.06
39,bluff,NZ,1590174298.0,-46.6,168.33,48.16,83.0,59.0,4.05
40,aykhal,RU,1590174298.0,66.0,111.5,55.4,37.0,87.0,4.47
41,rikitea,PF,1590174298.0,-23.12,-134.97,71.11,69.0,94.0,19.57
42,catamarca,AR,1590174032.0,-28.47,-65.79,61.0,48.0,3.0,11.99
43,beringovskiy,RU,1590174298.0,63.05,179.32,31.15,98.0,100.0,15.17
44,kidal,ML,1590174298.0,18.44,1.41,89.35,12.0,0.0,10.29
45,ulladulla,AU,1590174299.0,-35.35,150.47,55.99,66.0,90.0,17.22
46,mayor pablo lagerenza,PY,1590174299.0,-19.93,-60.77,57.67,87.0,100.0,13.13
47,saskylakh,RU,1590174299.0,71.92,114.08,43.0,94.0,100.0,6.64
48,port alfred,ZA,1590174299.0,-33.59,26.89,64.0,93.0,3.0,7.0
50,asau,RO,1590174299.0,46.43,26.4,46.0,81.0,100.0,2.13
51,rome,US,1590174130.0,34.26,-85.16,82.0,69.0,1.0,4.7
52,harlow,GB,1590174300.0,51.78,0.11,64.4,45.0,100.0,18.34
53,udachnyy,RU,1590174300.0,66.42,112.4,55.4,37.0,100.0,4.47
54,tilichiki,RU,1590174300.0,60.47,166.1,29.19,94.0,4.0,6.71
55,arraial do cabo,BR,1590174300.0,-22.97,-42.03,80.6,65.0,32.0,10.29
56,filadelfia,US,1590174128.0,39.95,-75.16,69.01,93.0,90.0,6.93
57,lavrentiya,RU,1590174300.0,65.58,-171.0,34.57,93.0,100.0,5.5
58,asekeyevo,RU,1590174300.0,53.57,52.8,51.85,60.0,99.0,4.12
60,saint-philippe,RE,1590174301.0,-21.36,55.77,73.4,69.0,42.0,25.28
61,atuona,PF,1590174301.0,-9.8,-139.03,80.4,78.0,4.0,15.86
63,saldanha,ZA,1590174301.0,-33.01,17.94,57.2,67.0,0.0,1.12
64,homer,US,1590174301.0,59.64,-151.55,48.2,61.0,90.0,4.7
65,thompson,CA,1590174301.0,55.74,-97.86,37.4,86.0,90.0,12.75
67,pahrump,US,1590174262.0,36.21,-115.98,81.0,15.0,38.0,11.99
68,mvuma,ZW,1590174301.0,-19.28,30.53,52.84,79.0,0.0,8.32
70,saint george,US,1590174046.0,37.1,-113.58,82.0,15.0,1.0,5.82
71,sechura,PE,1590174302.0,-5.56,-80.82,76.6,58.0,0.0,10.63
73,cape town,ZA,1590174096.0,-33.93,18.42,57.0,76.0,17.0,5.82
74,chicama,PE,1590174302.0,-7.84,-79.15,74.95,60.0,52.0,10.56
75,coihaique,CL,1590174204.0,-45.58,-72.07,51.8,57.0,75.0,4.7
76,farah,AF,1590174302.0,32.5,62.5,75.67,19.0,0.0,4.38
77,upala,CR,1590174010.0,10.9,-85.01,81.0,74.0,34.0,14.0
78,talcahuano,CL,1590174298.0,-36.72,-73.12,60.8,36.0,99.0,10.29
79,dwarka,IN,1590174302.0,22.24,68.97,83.73,76.0,0.0,13.67
80,san jose,US,1590174071.0,37.34,-121.89,70.0,39.0,75.0,3.36
81,korla,CN,1590174303.0,41.76,86.15,71.56,25.0,0.0,6.55
82,chuy,UY,1590174303.0,-33.7,-53.46,61.7,85.0,100.0,21.81
84,shingu,JP,1590174303.0,33.73,135.98,62.15,85.0,100.0,5.68
85,faya,SA,1590174303.0,18.39,42.45,71.6,52.0,18.0,1.9
86,alexandria,EG,1590174303.0,31.22,29.96,69.8,73.0,40.0,11.41
87,tuatapere,NZ,1590174303.0,-46.13,167.68,43.12,85.0,0.0,4.83
88,waingapu,ID,1590174303.0,-9.66,120.26,77.16,87.0,100.0,7.14
89,rabo de peixe,PT,1590174304.0,37.8,-25.58,64.4,82.0,40.0,10.29
90,hoi an,VN,1590174304.0,15.88,108.33,84.2,74.0,40.0,3.36
91,new norfolk,AU,1590174304.0,-42.78,147.06,37.0,89.0,2.0,2.66
92,chokurdakh,RU,1590174304.0,70.63,147.92,21.42,98.0,80.0,3.58
93,port elizabeth,ZA,1590174304.0,-33.92,25.57,60.8,93.0,30.0,10.29
94,avarua,CK,1590174304.0,-21.21,-159.78,78.8,74.0,100.0,13.87
95,neryungri,RU,1590174304.0,56.67,124.65,39.13,74.0,91.0,5.79
96,port macquarie,AU,1590174304.0,-31.43,152.92,50.0,85.0,0.0,10.11
97,esil,KZ,1590174304.0,51.96,66.4,61.39,71.0,69.0,7.81
98,longyearbyen,SJ,1590174140.0,78.22,15.64,33.8,69.0,20.0,2.24
99,touros,BR,1590174305.0,-5.2,-35.46,82.4,83.0,75.0,11.41
100,busselton,AU,1590174305.0,-33.65,115.33,51.01,53.0,100.0,10.83
101,bredasdorp,ZA,1590174305.0,-34.53,20.04,59.0,62.0,0.0,8.05
102,flinders,AU,1590174305.0,-34.58,150.86,57.0,74.0,55.0,8.99
103,khatanga,RU,1590174305.0,71.97,102.5,50.41,87.0,100.0,5.23
104,barrow,US,1590174305.0,71.29,-156.79,26.6,86.0,1.0,17.22
106,srednekolymsk,RU,1590174305.0,67.45,153.68,31.46,90.0,100.0,6.35
107,tasiilaq,GL,1590174305.0,65.61,-37.64,39.2,80.0,90.0,20.8
109,caravelas,BR,1590174306.0,-17.71,-39.25,78.53,74.0,0.0,5.82
110,muros,ES,1590174306.0,42.78,-9.06,66.99,79.0,86.0,8.01
111,north bend,US,1590174306.0,43.41,-124.22,62.01,66.0,90.0,8.05
112,williston,US,1590174306.0,48.15,-103.62,75.99,53.0,1.0,10.29
114,polovinnoye,RU,1590174306.0,54.79,65.99,55.17,73.0,100.0,7.09
115,tuktoyaktuk,CA,1590174186.0,69.45,-133.04,37.4,74.0,5.0,6.93
116,liezen,AT,1590174306.0,47.57,14.23,68.0,45.0,100.0,4.7
117,hermanus,ZA,1590174306.0,-34.42,19.23,63.0,70.0,5.0,13.62
118,bonavista,CA,1590174307.0,48.65,-53.11,43.0,75.0,86.0,10.0
119,timaru,NZ,1590174060.0,-44.4,171.25,48.99,97.0,100.0,6.55
120,hofn,IS,1590174307.0,64.25,-15.21,53.6,46.0,20.0,19.46
121,kochi,IN,1590174042.0,9.94,76.26,84.2,89.0,40.0,3.67
122,mahebourg,MU,1590174307.0,-20.41,57.7,73.4,69.0,40.0,13.87
123,belyy yar,RU,1590174307.0,53.6,91.39,57.2,76.0,85.0,6.71
124,moron,AR,1590174262.0,-34.65,-58.62,60.01,79.0,100.0,8.99
125,havre,FR,1590174307.0,49.58,0.33,57.99,82.0,90.0,9.17
126,torbay,CA,1590174307.0,47.67,-52.73,61.0,54.0,40.0,28.86
127,skelleftea,SE,1590174308.0,64.75,20.95,55.0,23.0,0.0,8.05
128,atherton,GB,1590174308.0,53.52,-2.49,60.01,54.0,54.0,11.01
129,petropavlovsk-kamchatskiy,RU,1590174308.0,53.05,158.65,37.4,76.0,72.0,4.47
130,vestmanna,FO,1590174308.0,62.16,-7.17,48.2,81.0,100.0,11.41
131,mehran,IR,1590174308.0,33.12,46.16,71.6,26.0,0.0,8.99
132,teeli,RU,1590174308.0,51.03,90.23,55.96,55.0,98.0,2.37
133,henties bay,NA,1590174308.0,-22.12,14.28,64.81,64.0,0.0,9.69
135,mikhaylovka,RU,1590174308.0,50.06,43.24,52.0,92.0,100.0,1.01
136,alenquer,BR,1590174308.0,-1.94,-54.74,80.6,94.0,75.0,5.82
137,abnub,EG,1590174308.0,27.27,31.15,89.6,35.0,0.0,14.99
139,kautokeino,NO,1590174309.0,69.01,23.04,34.92,95.0,100.0,6.76
140,darnah,LY,1590174028.0,32.77,22.64,67.77,79.0,96.0,18.9
141,kapaa,US,1590174309.0,22.08,-159.32,77.0,78.0,40.0,13.87
142,jurm,AF,1590174309.0,36.86,70.83,60.31,57.0,0.0,1.5
