,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,busselton,AU,1601993556.0,-33.65,115.33,48.0,58.0,97.0,5.41
2,mataura,NZ,1601993556.0,-46.19,168.86,46.0,77.0,98.0,5.01
3,jamestown,US,1601993556.0,42.1,-79.24,52.0,93.0,1.0,9.17
4,barrow,US,1601993556.0,71.29,-156.79,32.0,92.0,90.0,5.82
6,rikitea,PF,1601993557.0,-23.12,-134.97,73.69,82.0,100.0,13.67
7,vila velha,BR,1601993557.0,-20.33,-40.29,84.99,58.0,20.0,17.22
8,lorengau,PG,1601993557.0,-2.02,147.27,81.82,77.0,86.0,9.98
9,hamilton,US,1601993428.0,39.18,-84.53,55.99,83.0,0.0,6.76
10,atuona,PF,1601993557.0,-9.8,-139.03,77.54,74.0,51.0,17.45
11,fare,PF,1601993557.0,-16.7,-151.02,78.13,78.0,0.0,12.1
12,najran,SA,1601993557.0,17.49,44.13,93.2,8.0,0.0,11.41
13,port alfred,ZA,1601993558.0,-33.59,26.89,69.1,76.0,67.0,7.94
14,kichmengskiy gorodok,RU,1601993558.0,59.98,45.79,50.32,95.0,100.0,2.86
15,ushuaia,AR,1601993558.0,-54.8,-68.3,39.2,80.0,75.0,24.16
16,batticaloa,LK,1601993558.0,7.71,81.69,82.06,77.0,25.0,10.49
17,punta arenas,CL,1601993558.0,-53.15,-70.92,41.0,80.0,20.0,17.22
18,abeche,TD,1601993558.0,13.83,20.83,95.0,25.0,20.0,9.17
19,batemans bay,AU,1601993558.0,-35.72,150.18,59.0,97.0,100.0,1.7
20,nishihara,JP,1601993558.0,26.18,127.76,77.0,83.0,40.0,9.17
21,vaini,TO,1601993558.0,-21.2,-175.2,73.4,94.0,75.0,10.29
22,hobart,AU,1601993319.0,-42.88,147.33,44.6,87.0,0.0,8.05
23,butaritari,KI,1601993559.0,3.07,172.79,81.82,76.0,0.0,14.61
24,trinidad,BO,1601993417.0,-14.83,-64.9,82.4,69.0,87.0,3.36
26,esperance,AU,1601993559.0,-33.87,121.9,48.2,87.0,0.0,11.41
27,te anau,NZ,1601993559.0,-45.42,167.72,39.51,90.0,79.0,5.99
28,manaus,BR,1601993559.0,-3.1,-60.02,75.2,83.0,75.0,5.82
29,kaitangata,NZ,1601993560.0,-46.28,169.85,44.01,71.0,86.0,4.0
30,verkhnevilyuysk,RU,1601993526.0,63.45,120.32,36.37,82.0,15.0,5.39
31,san patricio,MX,1601993560.0,19.22,-104.7,76.98,78.0,80.0,3.56
32,keita,NE,1601993560.0,14.76,5.77,96.8,39.0,0.0,4.7
33,victoria,HK,1601993514.0,22.29,114.16,79.0,74.0,42.0,12.64
34,sitka,US,1601993560.0,57.05,-135.33,50.0,87.0,90.0,6.93
37,chapais,CA,1601993561.0,49.78,-74.85,46.4,81.0,90.0,14.99
38,mount gambier,AU,1601993561.0,-37.83,140.77,44.6,81.0,90.0,6.93
39,grenfell,AU,1601993561.0,-33.9,148.17,60.01,95.0,99.0,3.0
40,pithora,IN,1601993561.0,21.27,82.52,77.76,91.0,99.0,3.06
41,norman,US,1601993561.0,35.22,-97.44,61.0,82.0,1.0,4.7
42,atbasar,KZ,1601993561.0,51.8,68.33,42.4,61.0,100.0,10.65
43,faanui,PF,1601993561.0,-16.48,-151.75,77.67,78.0,0.0,12.26
44,mount isa,AU,1601993561.0,-20.73,139.5,80.6,42.0,80.0,12.75
